epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,19736.9,0.90813,0.78773,1.20128,0.76584,0.75054,0.78499,0.57521,1.15447,1.00473,1.47441,0.000775822,0.000775822,0.000775822
56,20094.1,0.94447,0.80137,1.21716,0.79834,0.74456,0.78226,0.58604,1.11199,0.98058,1.4457,0.000759318,0.000759318,0.000759318
57,20452.9,0.90043,0.7559,1.20397,0.83551,0.73172,0.78832,0.59838,1.09688,0.98449,1.43387,0.000742815,0.000742815,0.000742815
58,20812.7,0.91285,0.78841,1.20879,0.8055,0.75774,0.79312,0.58619,1.15295,1.0057,1.48566,0.000726312,0.000726312,0.000726312
59,21170.7,0.90191,0.76877,1.20029,0.80387,0.76705,0.79443,0.59301,1.20399,0.97166,1.54326,0.000709809,0.000709809,0.000709809
60,21528.9,0.89285,0.75689,1.20118,0.82473,0.76651,0.80168,0.60175,1.15769,0.94643,1.48721,0.000693305,0.000693305,0.000693305
61,21886.6,0.86332,0.71882,1.1751,0.76562,0.7551,0.77582,0.57528,1.20766,1.08177,1.56612,0.000676802,0.000676802,0.000676802
62,22245.9,0.87866,0.73794,1.18571,0.78707,0.76667,0.78444,0.58481,1.20518,0.95831,1.56619,0.000660299,0.000660299,0.000660299
63,22603.6,0.8842,0.73476,1.18646,0.80017,0.75751,0.80424,0.58919,1.13933,0.98699,1.47978,0.000643795,0.000643795,0.000643795
64,22963.5,0.84926,0.70409,1.16326,0.83521,0.71626,0.79427,0.59115,1.12082,0.99452,1.46341,0.000627292,0.000627292,0.000627292
65,23322.5,0.86023,0.72246,1.17648,0.81359,0.75103,0.80162,0.60637,1.11242,0.94976,1.45056,0.000610789,0.000610789,0.000610789
66,23682.7,0.84972,0.71267,1.17488,0.84552,0.78374,0.80567,0.60448,1.10939,0.90928,1.44523,0.000594286,0.000594286,0.000594286
67,24043.1,0.86866,0.71566,1.1726,0.79707,0.77292,0.79267,0.5911,1.14127,0.94084,1.50954,0.000577782,0.000577782,0.000577782
68,24402.4,0.86656,0.71253,1.17927,0.83673,0.77688,0.8046,0.61284,1.14332,0.89179,1.49471,0.000561279,0.000561279,0.000561279
69,24761.2,0.857,0.69544,1.16464,0.83747,0.7145,0.8077,0.60076,1.14258,0.97963,1.45603,0.000544776,0.000544776,0.000544776
70,25120.5,0.85721,0.69839,1.17078,0.83261,0.77059,0.81119,0.60862,1.14402,0.90294,1.49119,0.000528272,0.000528272,0.000528272
71,25479.6,0.82578,0.67925,1.16005,0.80422,0.79384,0.80124,0.60744,1.12128,0.88833,1.46716,0.000511769,0.000511769,0.000511769
72,25839.9,0.84425,0.68435,1.15916,0.77228,0.78201,0.80269,0.6101,1.13947,0.93156,1.48605,0.000495266,0.000495266,0.000495266
73,26197.9,0.83252,0.67588,1.15235,0.84946,0.76497,0.81272,0.61552,1.13251,0.90102,1.48113,0.000478762,0.000478762,0.000478762
74,26557.3,0.80871,0.64246,1.13404,0.83052,0.78224,0.80663,0.60737,1.12268,0.95046,1.46516,0.000462259,0.000462259,0.000462259
75,26918.3,0.82215,0.677,1.14196,0.88943,0.73862,0.81218,0.62023,1.09496,0.90739,1.46269,0.000445756,0.000445756,0.000445756
76,27276.6,0.8049,0.65286,1.14895,0.83022,0.79287,0.82012,0.61822,1.10689,0.91223,1.46606,0.000429253,0.000429253,0.000429253
77,27635.5,0.81115,0.64658,1.14725,0.85989,0.75499,0.81502,0.62181,1.10297,0.89361,1.42315,0.000412749,0.000412749,0.000412749
78,27994.8,0.80119,0.62925,1.13305,0.84796,0.76806,0.81387,0.61516,1.09437,0.87692,1.45086,0.000396246,0.000396246,0.000396246
79,28353,0.79777,0.62677,1.12906,0.8715,0.75562,0.81355,0.62702,1.09413,0.87526,1.46769,0.000379743,0.000379743,0.000379743
80,28712.9,0.80919,0.63226,1.13704,0.84001,0.76157,0.7995,0.62572,1.10223,0.87643,1.47706,0.000363239,0.000363239,0.000363239
81,29070.8,0.80776,0.62998,1.12592,0.84444,0.7813,0.81306,0.61754,1.11024,0.86285,1.47555,0.000346736,0.000346736,0.000346736
82,29449.9,0.78001,0.61675,1.12789,0.83435,0.78003,0.81255,0.62255,1.09037,0.8832,1.45871,0.000330233,0.000330233,0.000330233
83,29808.2,0.78968,0.61452,1.1244,0.8755,0.75936,0.81145,0.62796,1.09289,0.85621,1.46589,0.000313729,0.000313729,0.000313729
84,30165.3,0.78362,0.61516,1.1192,0.85391,0.7991,0.82905,0.62753,1.10385,0.85638,1.48162,0.000297226,0.000297226,0.000297226
85,30533.6,0.78423,0.60272,1.1192,0.8623,0.76794,0.81195,0.62628,1.06676,0.86051,1.45095,0.000280723,0.000280723,0.000280723
86,30895.5,0.76638,0.5973,1.11247,0.89669,0.76246,0.8254,0.63896,1.06637,0.85115,1.44671,0.00026422,0.00026422,0.00026422
87,31254,0.78437,0.59634,1.12099,0.87047,0.77807,0.81539,0.63056,1.09815,0.85102,1.49393,0.000247716,0.000247716,0.000247716
88,31616.2,0.77952,0.59754,1.11218,0.91228,0.75035,0.8262,0.63631,1.05327,0.84532,1.44852,0.000231213,0.000231213,0.000231213
89,31976.7,0.75376,0.58139,1.10726,0.83611,0.80624,0.82848,0.63364,1.06431,0.84158,1.46258,0.00021471,0.00021471,0.00021471
90,32392.4,0.75803,0.59,1.11221,0.87928,0.79167,0.82936,0.63953,1.07584,0.83781,1.46973,0.000198206,0.000198206,0.000198206
